dataset,dataset_role,model,checkpoint,run_id,perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-mid,motion,curve,mid,0.002367745153605938,0.0008627176284790039,0.002139584394171834,0.002622907515615225,0.8533333539962769,0.809333324432373,0.04399999976158142,0.029333332553505898,0.058666665107011795,0.06800000369548798,0.05533333495259285,0.08133333176374435,5,0.04066666666666663,0.13866666666666666
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-high,motion,curve,high,0.006342071108520031,0.0025649964809417725,0.005806900095194578,0.006944841705262661,0.8533333539962769,0.7193333506584167,0.1340000033378601,0.11266666650772095,0.15333333611488342,0.16333332657814026,0.14531667530536652,0.18201668560504913,5,0.15333333333333332,0.284
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,color_transform,color-low,appearance,curve,low,1.9597212030930677e-06,1.2516975402832031e-06,1.782190793164773e-06,2.1611313059111126e-06,0.8533333539962769,0.8513333201408386,0.0020000000949949026,-0.0013333333190530539,0.005333333276212215,0.0033333334140479565,0.0006666666595265269,0.006666666828095913,5,0.0020000000000000018,0.005333333333333333
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,color_transform,color-mid,appearance,curve,mid,4.8263191274600103e-05,3.820657730102539e-05,4.633853313862346e-05,5.027335282647982e-05,0.8533333539962769,0.8433333039283752,0.009999999776482582,0.0033333334140479565,0.017999999225139618,0.01666666753590107,0.01066666655242443,0.023333333432674408,5,0.0,0.023333333333333334
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,color_transform,color-high,appearance,curve,high,0.00047753489343449473,0.00038620829582214355,0.00046218623174354434,0.000493413710501045,0.8533333539962769,0.79666668176651,0.05666666850447655,0.04266666620969772,0.07066666334867477,0.06933332979679108,0.05666666850447655,0.0820000022649765,5,0.0086666666666666,0.06266666666666666
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.009448105469346046,0.009189218282699585,0.00928155705332756,0.009602113626897335,0.8533333539962769,0.5613333582878113,0.2919999957084656,0.26733332872390747,0.3180166780948639,0.31333333253860474,0.2906666696071625,0.3373333215713501,5,0.252,0.416
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.08018187433481216,0.07922008633613586,0.07479456812143326,0.0853593647480011,0.07500000298023224,0.03750000149011612,0.03750000149011612,0.014531251043081284,0.06458333134651184,0.05833333358168602,0.03958333283662796,0.08124999701976776,5,-0.008333333333333331,0.84375
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-low,motion,curve,low,0.003937073051929474,0.0031009912490844727,0.003654013853520155,0.004237883724272251,0.07500000298023224,0.0729166641831398,0.0020833334419876337,-0.014583333395421505,0.01875000074505806,0.01875000074505806,0.008333333767950535,0.03125,5,-0.012500000000000004,0.5833333333333334
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-mid,motion,curve,mid,0.023549627512693405,0.015360653400421143,0.021803000941872597,0.02550908736884594,0.07500000298023224,0.06666667014360428,0.008333333767950535,-0.012500000186264515,0.03125,0.03333333507180214,0.01875000074505806,0.0520833320915699,5,-0.006249999999999999,0.8166666666666667
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-high,motion,curve,high,0.056811247020959854,0.03634601831436157,0.05261361598968506,0.061089739203453064,0.07500000298023224,0.03541666641831398,0.03958333283662796,0.012500000186264515,0.06666667014360428,0.0625,0.043697915971279144,0.08541666716337204,5,-0.002083333333333333,0.9083333333333333
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,color_transform,color-low,appearance,curve,low,6.778786314498575e-07,4.76837158203125e-07,6.162809995657881e-07,7.448159067280358e-07,0.07500000298023224,0.07708333432674408,-0.0020833334419876337,-0.0062500000931322575,0.0,0.0,0.0,0.0,5,-0.002083333333333333,0.0125
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,color_transform,color-mid,appearance,curve,mid,2.3596609025844373e-05,2.1070241928100586e-05,2.269653487019241e-05,2.4524573746020906e-05,0.07500000298023224,0.06875000149011612,0.0062500000931322575,-0.004218749236315489,0.01875000074505806,0.012500000186264515,0.004166666883975267,0.02291666716337204,5,0.0,0.06041666666666667
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,color_transform,color-high,appearance,curve,high,0.00022368902864400297,0.00019252300262451172,0.00021448613551910967,0.00023305704235099256,0.07500000298023224,0.07500000298023224,0.0,-0.01666666753590107,0.01666666753590107,0.01666666753590107,0.0062500000931322575,0.02916666679084301,5,0.0,0.13541666666666666
Diving48,fine-grained motion / pose contrast,VideoMAE,MCG-NJU/videomae-base,diving48-c32-train50-heldout15-videomae-base-frozen-linear-probe,spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.0010661687701940536,0.0008411109447479248,0.0010036265011876822,0.0011331845307722688,0.07500000298023224,0.05624999850988388,0.01875000074505806,0.0020833334419876337,0.03541666641831398,0.02708333358168602,0.014583333395421505,0.0416666679084301,5,0.002083333333333333,0.32708333333333334
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.22183437645435333,0.2049298882484436,0.21657171845436096,0.22735098004341125,0.33933332562446594,0.1340000033378601,0.20533333718776703,0.18131667375564575,0.2280000001192093,0.23333333432674408,0.2106500118970871,0.2540000081062317,5,0.08533333333333334,0.728
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,freeze_tail,freeze-tail-low,motion,curve,low,0.04260170832276344,0.03838801383972168,0.04131299629807472,0.043829213827848434,0.33933332562446594,0.30533334612846375,0.03400000184774399,0.01733333244919777,0.05000000074505806,0.06933332979679108,0.0560000017285347,0.0820000022649765,5,0.009333333333333332,0.42
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,freeze_tail,freeze-tail-mid,motion,curve,mid,0.12043344974517822,0.1120712161064148,0.1178697794675827,0.12314054369926453,0.33933332562446594,0.2433333396911621,0.09600000083446503,0.07400000095367432,0.11668334901332855,0.14000000059604645,0.12266666442155838,0.15735001862049103,5,0.036000000000000004,0.5733333333333334
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,freeze_tail,freeze-tail-high,motion,curve,high,0.2296980619430542,0.21988674998283386,0.22575578093528748,0.23421114683151245,0.33933332562446594,0.14533333480358124,0.1940000057220459,0.16798333823680878,0.2160000056028366,0.23000000417232513,0.20800000429153442,0.25,5,0.08933333333333333,0.734
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,color_transform,color-low,appearance,curve,low,9.482343739364296e-05,7.24494457244873e-05,9.066133497981355e-05,9.896095434669405e-05,0.33933332562446594,0.3413333296775818,-0.0020000000949949026,-0.005333333276212215,0.0013333333190530539,0.0013333333190530539,0.0,0.0033333334140479565,5,-0.0026666666666666505,0.038
